QUESTION,BT LEVEL
Prepare a research  proposal on a study that you have to conduct on the purchasing behaviour of teenagers in the Klang Valley.,Synthesis
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Comprehension
Contrast building in the coastal zone with building in a river floodplain.,Analysis
Formulate the evolution of the weather as a Markov chain by defining its states and giving its (one-step) transition matrix.,Synthesis
"Using an appropriate example, explain how session listeners can be used in a web application.",Application
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Comprehension
Information technology can be expensive. Identify and explain FIVE (5) factors that put upward pressure on internet pricing for online retailer. ,Comprehension
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analysis
Defend your use of a specific strategy in solving the problem.,Evaluation
Explain the conditions where underpinning are usually considered for an existing building construction works. ,Comprehension
State in your own words the rule for balls and strikes in baseball.,Comprehension
"Show, through role-play, the final scene in the novel.",Application
Compare and contrast between low context cultures and high context cultures. ,Analysis
"Technology has been used in most schools since the 90s, but it still has some interruptions. Validate the top FOUR (4) problematic issues with technology in education today. ",Evaluation
How do you analyze a marginally RCT ,Analysis
"Discuss critically, by using your understanding of nature and nurture.",Evaluation
What is a textual index,Knowledge
"Recommend with justification, a value or range of values to the Board of Directors for the acquisition of ESL Berhad.",Evaluation
Examine traditional warehouse layout and cross-docking layout. ,Analysis
Discuss the significance of genome studies in molecular medicine.,Comprehension
Explain the effect of stereotyping young teenage in advertising on society. ,Comprehension
Decide which course of action was most effective ,Evaluation
Explain and differentiate between TWO types of aggregations when colloidal particles are unstable. ,Analysis
Briefly describe the formation of disulfide bond. Suggest ONE role of disulfide bond. ,Synthesis
"SUBWAY brand is the world's largest submarine sandwich chain with more than 44,000 locations around the world. This November, Subway is introducing two new combos as in the image provided below. Propose a rough layout of a poster to promote these new combos. ",Synthesis
Differentiate between qualitative research and quantitative research in terms of their goal and design.,Analysis
Describe what hydraulic engineering is in your own words showing concrete examples. ,Comprehension
"There are five (5) techniques in adapting materials as conjured by McDonough, Shaw and Matsuhara (2012). Elaborate on the ADDING technique to adapt a topic in a course book to teach present tense to Form 1 low proficiency students by using example. ",Comprehension
Define prosocial behaviors. ,Knowledge
Discuss the advantages of dynamic logic circuit compared to the conventional static combinational logic circuit. ,Comprehension
Describe the differences between progeny and sib testings. ,Comprehension
Describe  the  differences  between  HTTP  session  listeners  and  servlet  request listeners.,Comprehension
Determine the volume density and area density on the (1 0 0) plane of a body center cubic cell with lattice constant of 5 Å. ,Application
Can you justify the decisions you have made ? ,Evaluation
who was the first to compose in the arts of makamat,Knowledge
Compare fall and spring,Analysis
Discuss the importance of soil structure in vegetable farms. ,Comprehension
Show the value of x after running this program fragment,Application
Critically discuss on human's need to maintain a temperature of 37°C. Provide TWO (2) points. ,Analysis
"The correlation between the S&P 500 index fund and the emerging market fund is zero. Consider portfolio A, which consists of 80% of the S&P index fund and 20% of the emerging-market fund. Calculate portfolio A's expected return and standard deviation. ",Application
How did Chinese newspapers differ from US,Analysis
